cycle,range_bin,doppler_bin,output_hex
1157835000,26,11,fe970312
1157845000,26,12,012dfbd7
1157855000,26,13,003c02f5
1157865000,26,14,feb0fe05
1157875000,26,15,019001aa
1157885000,26,16,ff29ff2a
1157895000,26,17,01900106
1157905000,26,18,fd4bff3f
1157915000,26,19,00e40104
1157925000,26,20,00adfd4d
1157935000,26,21,feb90203
1157945000,26,22,025c0037
1157955000,26,23,fe08fd3f
1157965000,26,24,00eb0420
1157975000,26,25,ff25fca3
1157985000,26,26,00fe0228
1157995000,26,27,fffdff2c
1158005000,26,28,fe55017b
1158015000,26,29,0212fdab
1158025000,26,30,001c0087
1158035000,26,31,fde6003c
1162315000,27,0,01870215
1162325000,27,1,ffc6ff7c
1162335000,27,2,ffb00060
1162345000,27,3,ffea0170
1162355000,27,4,ff27fec4
1162365000,27,5,0321008f
1162375000,27,6,fc32ffe5
1162385000,27,7,01d2fef8
1162395000,27,8,0078ff69
1162405000,27,9,ffc6026c
1162415000,27,10,ff8ffd6c
1162425000,27,11,00a4011d
1162435000,27,12,fefefff1
1162445000,27,13,01a1000e
1162455000,27,14,fd9d00b0
1162465000,27,15,0162fecb
1162475000,27,16,fef50155
1162485000,27,17,01ccfe8a
1162495000,27,18,fedcffc4
1162505000,27,19,ff2e01f6
1162515000,27,20,0111fd20
1162525000,27,21,ff0902d9
1162535000,27,22,01b2ff63
1162545000,27,23,fea40016
1162555000,27,24,fff0ffad
1162565000,27,25,002c001e
1162575000,27,26,01810004
1162585000,27,27,fe88ff9d
1162595000,27,28,006600f3
1162605000,27,29,ff21ff42
1162615000,27,30,02a301bc
1162625000,27,31,fd34fc2f
1166905000,28,0,01c5ff69
1166915000,28,1,fde5000a
1166925000,28,2,015b00cd
1166935000,28,3,00b30037
1166945000,28,4,fd66ff9d
1166955000,28,5,0477ffd8
1166965000,28,6,fd300155
1166975000,28,7,ff35ff30
